fit_time,score_time,test_f1,test_recall,test_precision,test_accuracy,test_roc_auc
2.1952788829803467,0.004772186279296875,0.8047186530793086,0.8032786885245902,0.8079052823315117,0.8032786885245902,0.7991990846681922
2.1899216175079346,0.0060863494873046875,0.7537014249990077,0.7540983606557377,0.7569725356610603,0.7540983606557377,0.7548387096774194
2.160701036453247,0.004887104034423828,0.7730874316939891,0.7704918032786885,0.7773701708127938,0.7704918032786885,0.7524390243902439
2.170245885848999,0.0050601959228515625,0.882183422510091,0.8833333333333333,0.89375,0.8833333333333333,0.8804226918798665
2.1175150871276855,0.005179882049560547,0.8678733031674208,0.8666666666666667,0.8767857142857144,0.8666666666666667,0.875
2.1213057041168213,0.006206989288330078,0.8010538641686183,0.8032786885245902,0.8006797281087564,0.8032786885245902,0.7768065268065267
2.1157779693603516,0.005958080291748047,0.7328961748633881,0.7377049180327869,0.7430929726011694,0.7377049180327869,0.7278138528138529
2.1090030670166016,0.005244016647338867,0.8018387239698714,0.8032786885245902,0.8021907941628841,0.8032786885245902,0.7905555555555557
2.2332892417907715,0.005036830902099609,0.8668149796069708,0.8666666666666667,0.868888888888889,0.8666666666666667,0.8683035714285715
2.107516050338745,0.005730867385864258,0.850125313283208,0.85,0.8507230255839822,0.85,0.8504464285714286
2.081439971923828,0.004881858825683594,0.8148945308541287,0.819672131147541,0.8223427421011545,0.819672131147541,0.7927927927927927
2.1387178897857666,0.0051610469818115234,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8688524590163934,0.8685344827586207
0.6780729293823242,0.003300189971923828,0.7863118943974737,0.7868852459016393,0.7964391585413765,0.7868852459016393,0.7904094827586206
0.6789588928222656,0.002973794937133789,0.7698340874811463,0.7666666666666667,0.7882461994809048,0.7666666666666667,0.7779083431257344
0.6804561614990234,0.002978801727294922,0.8485314685314685,0.85,0.8710648148148149,0.85,0.853726362625139
