F1,Recall,Precision,Accuracy,AUC-ROC
0.7596037972667545,0.768361581920904,0.7569614189121858,0.768361581920904,0.8812109307467964
0.7727883255094798,0.7824858757062146,0.7711662380189449,0.7824858757062146,0.9028116117699341
0.7647492732505518,0.7725988700564972,0.7628641291716157,0.7725988700564972,0.8868484962262649
0.7616270796759963,0.7711864406779662,0.7632929243550737,0.7711864406779662,0.8737945794315816
0.7687952632245746,0.7807637906647807,0.7648384492161356,0.7807637906647807,0.8847651535713444
0.7793882088758879,0.7853107344632768,0.7779376145241392,0.7853107344632768,0.892665022689386
0.7580105746218807,0.7669491525423728,0.7556398385023716,0.7669491525423728,0.8918411344780414
0.776528286550889,0.7838983050847458,0.7731722578569712,0.7838983050847458,0.8761636055569065
0.7364362079163381,0.748587570621469,0.7391446019111634,0.748587570621469,0.8673864535686574
0.7588026157245249,0.768033946251768,0.759275629309547,0.768033946251768,0.8813652031016597
0.762289144651191,0.768361581920904,0.7586401343366429,0.768361581920904,0.876811270317292
0.7737062776601491,0.7796610169491526,0.7729588066715272,0.7796610169491526,0.8809747210716449
0.7606164047539921,0.7754237288135594,0.7635583067513912,0.7754237288135594,0.8904791751979709
0.7466588440263788,0.7612994350282486,0.7431262783296945,0.7612994350282486,0.8817775895004102
0.7545436426180135,0.7666195190947667,0.7557387722533929,0.7666195190947667,0.8879729688608395
