F1,Recall,Precision,Accuracy,AUC-ROC
0.973413410480829,0.9732142857142857,0.9750830564784054,0.9732142857142857,0.9791666666666667
0.955525637485041,0.9553571428571429,0.9558662280701754,0.9553571428571429,0.9519480519480519
0.9731371204090541,0.9732142857142857,0.9732299663806513,0.9732142857142857,0.9680555555555557
0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9792207792207792
0.963963963963964,0.963963963963964,0.963963963963964,0.963963963963964,0.9609154929577465
0.9910935535454889,0.9910714285714286,0.9912840136054422,0.9910714285714286,0.9929577464788732
0.9910953244286578,0.9910714285714286,0.9912891986062718,0.9910714285714286,0.9930555555555556
0.955525637485041,0.9553571428571429,0.9558662280701754,0.9553571428571429,0.9519480519480519
0.9637966537966537,0.9642857142857143,0.9661410018552876,0.9642857142857143,0.9487179487179487
0.9644509374239105,0.963963963963964,0.9676599676599676,0.963963963963964,0.9736842105263158
0.9733219795632138,0.9732142857142857,0.9736085343228201,0.9732142857142857,0.972473604826546
0.9368366143518099,0.9375,0.9377087198515771,0.9375,0.920697012802276
0.9911145617667356,0.9910714285714286,0.9913504464285714,0.9910714285714286,0.9938271604938271
0.9557844361215148,0.9553571428571429,0.9601063829787234,0.9553571428571429,0.9642857142857143
0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9819819819819819,0.9813131313131314
