F1,Recall,Precision,Accuracy,AUC-ROC
0.9645142376551188,0.9644970414201184,0.9665540447669904,0.9644970414201184,0.9986388462161483
0.9794055731660138,0.9792899408284024,0.979722903737913,0.9792899408284024,0.9995193217678391
0.9792207961259878,0.9792899408284024,0.9797306338709053,0.9792899408284024,0.999549596301558
0.9526245530022507,0.9525222551928784,0.9531757478156212,0.9525222551928784,0.9968955761366836
0.9822261057213769,0.9821958456973294,0.9825630115305752,0.9821958456973294,0.9987731769832353
0.9554752890642341,0.9556213017751479,0.9565804052834465,0.9556213017751479,0.9981830335577795
0.9734254618555426,0.9733727810650887,0.9739558060986633,0.9733727810650887,0.9975384703375462
0.9852250808865729,0.985207100591716,0.9855895020730184,0.985207100591716,0.9982293050064293
0.9790830909146256,0.9792284866468842,0.9797488150439725,0.9792284866468842,0.9996476009969505
0.970540944615778,0.9703264094955489,0.9724665048107185,0.9703264094955489,0.9991790857044327
0.9700771373594003,0.9704142011834319,0.970152857861971,0.9704142011834319,0.9978955104943247
0.9645745891975059,0.9644970414201184,0.9658094746774449,0.9644970414201184,0.997814966259581
0.9706469588049345,0.9704142011834319,0.9715534310184943,0.9704142011834319,0.9988840865765355
0.9700592652293544,0.9703264094955489,0.9709826075245347,0.9703264094955489,0.9989846975273142
0.9792650989564861,0.9792284866468842,0.9804723918161815,0.9792284866468842,0.9996852020424148
