F1,Recall,Precision,Accuracy,AUC-ROC
0.7800127713920818,0.7886178861788617,0.7835437120149603,0.7886178861788617,0.7317073170731708
0.6910569105691057,0.6910569105691057,0.6910569105691057,0.6910569105691057,0.6603197674418604
0.7443110939045898,0.7398373983739838,0.7523035230352303,0.7398373983739838,0.7202380952380951
0.7168352171326591,0.7235772357723578,0.7166071346445708,0.7235772357723578,0.6833333333333332
0.7499268149882903,0.7540983606557377,0.7496315653534694,0.7540983606557377,0.7220779220779221
0.7596448547605681,0.7642276422764228,0.760371065249114,0.7642276422764228,0.7329192546583851
0.758568413294023,0.7560975609756098,0.7614519175494785,0.7560975609756098,0.6872370266479663
0.6947474155323464,0.6991869918699187,0.6949848742673473,0.6991869918699187,0.6772602739726028
0.8083811123210749,0.8130081300813008,0.8097006651884701,0.8130081300813008,0.7720458553791887
0.7663453137263614,0.7704918032786885,0.766208554172316,0.7704918032786885,0.7363053613053614
0.7310986417201996,0.7317073170731707,0.7305885622958793,0.7317073170731707,0.711321287408244
0.7128367127044765,0.7235772357723578,0.7172257776774728,0.7235772357723578,0.6785714285714286
0.8072575847709696,0.8048780487804879,0.8114010209869541,0.8048780487804879,0.7884615384615385
0.7439649781113196,0.7479674796747967,0.7450567098263575,0.7479674796747967,0.7250413678985107
0.7905246440011845,0.7868852459016393,0.7959342177278533,0.7868852459016393,0.749063670411985
