fit_time,score_time,test_f1,test_recall,test_precision,test_accuracy,test_roc_auc
14.474924087524414,0.008386850357055664,0.8453415880301554,0.8453125,0.8455729166666668,0.8453125,0.8454979036151643
14.60985803604126,0.009620904922485352,0.8968689572834876,0.896875,0.8970206043956044,0.896875,0.8969032900711921
14.410916805267334,0.007375001907348633,0.8515983878294124,0.8515625,0.8519710580669735,0.8515625,0.8518572825024439
14.457881927490234,0.012489080429077148,0.8619177581901274,0.8625,0.8642305851382076,0.8625,0.8594117647058823
14.583499908447266,0.009980916976928711,0.8640648231563066,0.8640625,0.8642738985848364,0.8640625,0.8641779965619629
14.582267999649048,0.008858919143676758,0.848480810869231,0.8484375,0.8488596661490682,0.8484375,0.8487421660360386
14.51836895942688,0.010526180267333984,0.8797095419847327,0.8796875,0.8798389804639803,0.8796875,0.8798142717497556
14.544703960418701,0.008018970489501953,0.8653395203647058,0.865625,0.8661463738571781,0.865625,0.863659973147522
14.620482683181763,0.007790088653564453,0.8718887797103999,0.871875,0.8719195992179862,0.871875,0.8718119230167423
14.462235927581787,0.009865045547485352,0.8468884594349113,0.846875,0.8470507812499999,0.846875,0.8469969911296941
14.424670934677124,0.011368989944458008,0.8577906067690068,0.8578125,0.857806449010327,0.8578125,0.8575679981235156
14.460606813430786,0.009689092636108398,0.8860141026768161,0.8859375,0.888795694472941,0.8859375,0.88777969356166
2.974114179611206,0.006551027297973633,0.8640834124912399,0.8640625,0.8643110528423129,0.8640625,0.8642510944340213
2.9599411487579346,0.005758047103881836,0.8640561887430082,0.8640625,0.8640540994623656,0.8640625,0.8639109060878233
2.9687700271606445,0.005606174468994141,0.84845348325326,0.8484375,0.8484736205239362,0.8484375,0.8478256603477374
