fit_time,score_time,test_f1,test_recall,test_precision,test_accuracy,test_roc_auc
7.060189962387085,0.006735086441040039,0.7413102174221968,0.74375,0.7394202898550725,0.74375,0.6860119047619047
7.034625768661499,0.004812955856323242,0.7599090909090908,0.7625,0.7583333333333334,0.7625,0.7193732193732194
6.966928958892822,0.005062103271484375,0.7090468239306522,0.70625,0.7123325892857143,0.70625,0.6468599033816426
7.043186187744141,0.006249904632568359,0.7944927482610626,0.79375,0.7953027037617555,0.79375,0.7413039157225204
7.001176118850708,0.004574775695800781,0.7711527854384996,0.775,0.7696796338672769,0.775,0.7286324786324787
6.954754114151001,0.004869222640991211,0.7819442470749846,0.78125,0.7827033515345508,0.78125,0.7362700228832952
7.205209970474243,0.004725933074951172,0.7748279098873592,0.76875,0.7839173340961099,0.76875,0.7167832167832168
7.1146368980407715,0.005709171295166016,0.7818871064675698,0.78125,0.7825887111601397,0.78125,0.7425595238095238
7.136226654052734,0.004578113555908203,0.7921720504675406,0.79375,0.7911931818181818,0.79375,0.7600952213013579
7.092149019241333,0.004921913146972656,0.7355404280893163,0.74375,0.7350452196382429,0.74375,0.6885045422781273
7.0965471267700195,0.006047964096069336,0.770859649122807,0.76875,0.7735314396028683,0.76875,0.7274980930587338
7.185319185256958,0.004749774932861328,0.7680467836257309,0.76875,0.7674072679344756,0.76875,0.7217261904761904
1.5955309867858887,0.003359079360961914,0.7151785714285713,0.725,0.7142251815980629,0.725,0.6652690426275332
1.6006128787994385,0.00446319580078125,0.7654514215778574,0.7625,0.7693854568854569,0.7625,0.719806763285024
1.5861890316009521,0.003348112106323242,0.8109456814600173,0.81875,0.8126512096774194,0.81875,0.7474110337036339
