	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_n_estimators	param_num_leaves	params	split0_test_f1	split1_test_f1	split2_test_f1	split3_test_f1	split4_test_f1	split5_test_f1	split6_test_f1	split7_test_f1	split8_test_f1	split9_test_f1	mean_test_f1	std_test_f1	rank_test_f1	split0_test_recall	split1_test_recall	split2_test_recall	split3_test_recall	split4_test_recall	split5_test_recall	split6_test_recall	split7_test_recall	split8_test_recall	split9_test_recall	mean_test_recall	std_test_recall	rank_test_recall	split0_test_precision	split1_test_precision	split2_test_precision	split3_test_precision	split4_test_precision	split5_test_precision	split6_test_precision	split7_test_precision	split8_test_precision	split9_test_precision	mean_test_precision	std_test_precision	rank_test_precision	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	split9_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_roc_auc	split1_test_roc_auc	split2_test_roc_auc	split3_test_roc_auc	split4_test_roc_auc	split5_test_roc_auc	split6_test_roc_auc	split7_test_roc_auc	split8_test_roc_auc	split9_test_roc_auc	mean_test_roc_auc	std_test_roc_auc	rank_test_roc_auc
0	212.3630341053009	32.64724825207336	0.14216883182525636	0.13243552775691633	0.15	50	31	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 31}	0.7182336182336183	0.7238947368421054	0.7037281114667671	0.775	0.7895450973140401	0.7788472145615002	0.7592340771734077	0.7381246983458383	0.7702883821035696	0.7484408950117887	0.7505336831052636	0.027368127454823362	22	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.7274725274725274	0.7215116279069768	0.708310351167494	0.775	0.788719806763285	0.7849358974358974	0.7627648305084745	0.7518207752978687	0.7723815247252748	0.7485564500099384	0.7541473791287737	0.026266150494545927	13	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.681547619047619	0.6712962962962963	0.642512077294686	0.7137745974955277	0.7475071225071226	0.7448512585812357	0.6824539097266369	0.7127976190476188	0.7461646975842002	0.702480782669462	0.7045385980250406	0.03366087498865578	13
1	225.9092107772827	27.781413225738582	0.09447815418243408	0.049753240328539214	0.15	50	50	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 50}	0.7182336182336183	0.7238947368421054	0.7037281114667671	0.775	0.7895450973140401	0.7788472145615002	0.7592340771734077	0.7381246983458383	0.7702883821035696	0.7484408950117887	0.7505336831052636	0.027368127454823362	22	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.7274725274725274	0.7215116279069768	0.708310351167494	0.775	0.788719806763285	0.7849358974358974	0.7627648305084745	0.7518207752978687	0.7723815247252748	0.7485564500099384	0.7541473791287737	0.026266150494545927	13	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.681547619047619	0.6712962962962963	0.642512077294686	0.7137745974955277	0.7475071225071226	0.7448512585812357	0.6824539097266369	0.7127976190476188	0.7461646975842002	0.702480782669462	0.7045385980250406	0.03366087498865578	13
2	223.25816762447357	31.520796660518315	0.08336408138275146	0.02895854507065373	0.15	50	80	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 80}	0.7182336182336183	0.7238947368421054	0.7037281114667671	0.775	0.7895450973140401	0.7788472145615002	0.7592340771734077	0.7381246983458383	0.7702883821035696	0.7484408950117887	0.7505336831052636	0.027368127454823362	22	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.7274725274725274	0.7215116279069768	0.708310351167494	0.775	0.788719806763285	0.7849358974358974	0.7627648305084745	0.7518207752978687	0.7723815247252748	0.7485564500099384	0.7541473791287737	0.026266150494545927	13	0.7125	0.73125	0.7	0.775	0.79375	0.775	0.75625	0.73125	0.76875	0.75625	0.7499999999999999	0.02864109809347401	16	0.681547619047619	0.6712962962962963	0.642512077294686	0.7137745974955277	0.7475071225071226	0.7448512585812357	0.6824539097266369	0.7127976190476188	0.7461646975842002	0.702480782669462	0.7045385980250406	0.03366087498865578	13
3	378.6232284545898	27.27659641816514	0.07465007305145263	0.030420154373382594	0.15	100	31	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 31}	0.7320327308030143	0.7367368421052631	0.7019450800915332	0.7714029514244722	0.7952380952380953	0.7763980418000378	0.7396874999999999	0.7569599186352919	0.775	0.7466140350877193	0.7532015195185428	0.02588086794959483	7	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.7328736900165472	0.7348389982110912	0.7041046883826022	0.7688758211485485	0.7949843260188088	0.7780505952380953	0.7421064767370363	0.7577312005883433	0.775	0.748239905718385	0.7536805702059458	0.025319911799751477	19	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.6830357142857143	0.6855413105413105	0.6357487922705315	0.699065792089048	0.7521367521367521	0.7318840579710146	0.6526806526806526	0.712797619047619	0.7460765297125728	0.6979385045422782	0.6996905725277494	0.03590265142037573	22
4	477.7070069074631	54.886650428148485	0.07388820648193359	0.050055818063399586	0.15	100	50	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 50}	0.7320327308030143	0.7367368421052631	0.7019450800915332	0.7714029514244722	0.7952380952380953	0.7763980418000378	0.7396874999999999	0.7569599186352919	0.775	0.7466140350877193	0.7532015195185428	0.02588086794959483	7	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.7328736900165472	0.7348389982110912	0.7041046883826022	0.7688758211485485	0.7949843260188088	0.7780505952380953	0.7421064767370363	0.7577312005883433	0.775	0.748239905718385	0.7536805702059458	0.025319911799751477	19	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.6830357142857143	0.6855413105413105	0.6357487922705315	0.699065792089048	0.7521367521367521	0.7318840579710146	0.6526806526806526	0.712797619047619	0.7460765297125728	0.6979385045422782	0.6996905725277494	0.03590265142037573	22
5	519.3472108602524	32.40453224963083	0.13039100170135498	0.09470893096929821	0.15	100	80	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 80}	0.7320327308030143	0.7367368421052631	0.7019450800915332	0.7714029514244722	0.7952380952380953	0.7763980418000378	0.7396874999999999	0.7569599186352919	0.775	0.7466140350877193	0.7532015195185428	0.02588086794959483	7	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.7328736900165472	0.7348389982110912	0.7041046883826022	0.7688758211485485	0.7949843260188088	0.7780505952380953	0.7421064767370363	0.7577312005883433	0.775	0.748239905718385	0.7536805702059458	0.025319911799751477	19	0.73125	0.74375	0.7	0.775	0.8	0.775	0.7375	0.75625	0.775	0.75625	0.7550000000000001	0.026925824035672542	4	0.6830357142857143	0.6855413105413105	0.6357487922705315	0.699065792089048	0.7521367521367521	0.7318840579710146	0.6526806526806526	0.712797619047619	0.7460765297125728	0.6979385045422782	0.6996905725277494	0.03590265142037573	22
6	573.1708735466003	33.61432176787182	0.05915544033050537	0.017098290871395767	0.15	150	31	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 31}	0.725	0.7381642512077294	0.6778063489714371	0.7660343907274669	0.7752631578947369	0.7639757107889287	0.7396874999999999	0.7375	0.775	0.7446461560324001	0.74430775156227	0.02767652778418911	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.725	0.739430543572045	0.6748259685230025	0.76390625	0.7748211091234347	0.7656994047619048	0.7421064767370363	0.7375	0.775	0.7483232676414494	0.7446613020358873	0.02829336168808873	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.6726190476190476	0.6801994301994303	0.5956521739130435	0.6947922878155436	0.7282763532763532	0.7166285278413426	0.6526806526806526	0.6875	0.7460765297125728	0.6933962264150944	0.6867821229473081	0.03993536351982668	25
7	731.9614809036254	102.39713051093848	0.09309132099151611	0.04180333690565139	0.15	150	50	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 50}	0.725	0.7381642512077294	0.6778063489714371	0.7660343907274669	0.7752631578947369	0.7639757107889287	0.7396874999999999	0.7375	0.775	0.7446461560324001	0.74430775156227	0.02767652778418911	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.725	0.739430543572045	0.6748259685230025	0.76390625	0.7748211091234347	0.7656994047619048	0.7421064767370363	0.7375	0.775	0.7483232676414494	0.7446613020358873	0.02829336168808873	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.6726190476190476	0.6801994301994303	0.5956521739130435	0.6947922878155436	0.7282763532763532	0.7166285278413426	0.6526806526806526	0.6875	0.7460765297125728	0.6933962264150944	0.6867821229473081	0.03993536351982668	25
8	763.3191581249237	53.79715806742481	0.19912843704223632	0.24277461170906514	0.15	150	80	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 80}	0.725	0.7381642512077294	0.6778063489714371	0.7660343907274669	0.7752631578947369	0.7639757107889287	0.7396874999999999	0.7375	0.775	0.7446461560324001	0.74430775156227	0.02767652778418911	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.725	0.739430543572045	0.6748259685230025	0.76390625	0.7748211091234347	0.7656994047619048	0.7421064767370363	0.7375	0.775	0.7483232676414494	0.7446613020358873	0.02829336168808873	25	0.725	0.75	0.68125	0.76875	0.78125	0.7625	0.7375	0.7375	0.775	0.75625	0.7474999999999999	0.027838821814150105	25	0.6726190476190476	0.6801994301994303	0.5956521739130435	0.6947922878155436	0.7282763532763532	0.7166285278413426	0.6526806526806526	0.6875	0.7460765297125728	0.6933962264150944	0.6867821229473081	0.03993536351982668	25
9	190.78726317882538	11.127852828288605	0.08477499485015869	0.05983845358192017	0.05	50	31	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 31}	0.7381246983458383	0.7416994439169945	0.7136209378856438	0.7971645712366235	0.785205848403232	0.7732631747337629	0.7775347779561264	0.73899734771077	0.7521645021645021	0.7111311937929818	0.7528906496146476	0.028017164363167174	10	0.73125	0.74375	0.70625	0.79375	0.78125	0.76875	0.76875	0.73125	0.75	0.7125	0.74875	0.02764168048436997	19	0.7518207752978687	0.7401958080529509	0.7253341194968554	0.8022135416666666	0.7941505216095381	0.7807771997883971	0.793625	0.7562344759066071	0.7552801907681825	0.7099893162393162	0.7609620948826382	0.029495204498727456	4	0.73125	0.74375	0.70625	0.79375	0.78125	0.76875	0.76875	0.73125	0.75	0.7125	0.74875	0.02764168048436997	19	0.7127976190476188	0.7004985754985755	0.6671497584541063	0.7560127211290001	0.7731481481481481	0.740465293668955	0.734159779614325	0.71875	0.727384940927526	0.6740041928721174	0.7204371029360372	0.0318372435284279	4
