	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_n_estimators	param_num_leaves	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	mean_test_score	std_test_score	rank_test_score
0	1.2030324935913086	0.32129616409503664	0.008076333999633789	0.002561821891368664	0.15	50	31	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 31}	0.9064101456123674	0.9128772677104572	0.901757461702846	0.9062783175500975	0.9174569849324722	0.9088431425902039	0.9253082983516497	0.895562687498662	0.9285171823729811	0.9134955632481074	0.9201532334188345	0.9005737372726176	0.9086676516830087	0.9235587665733415	0.9009858778466326	0.9113630878909519	0.009621947728812351	20
1	1.6875677108764648	0.013313926285055915	0.0076263427734375	0.0006405732085610696	0.15	50	50	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 50}	0.8992005579642894	0.9142561062990346	0.8997300452023219	0.906385907577025	0.9240201507558835	0.911715665765722	0.921412792704687	0.8991695410406858	0.9210760636855465	0.9156328334660849	0.9209726193574072	0.9083590379517182	0.9129709261191975	0.9304040733126936	0.9071089475725345	0.9128276845849889	0.00927867721666875	17
2	2.7037257035573323	0.1790804157141144	0.00829021135965983	0.0006620361762143552	0.15	50	80	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 80}	0.9069371861064692	0.917008492117633	0.9014986870967553	0.9138999544407744	0.9183172256857486	0.9088072115668498	0.9264981718442166	0.9034571408822867	0.9263546235748114	0.9150504165647751	0.9261065867899061	0.9017372778221955	0.9106793664211529	0.9256627046023869	0.9068291603634208	0.9139229470586254	0.008859074190917604	15
3	2.023854684829712	0.00760964341959144	0.0083342711130778	8.310351348472254e-05	0.15	100	31	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 31}	0.904840639814048	0.9150764222149895	0.911630870339239	0.9136420265385325	0.9217375042376899	0.9078838029365395	0.9273733353326257	0.9075927303899999	0.9318761829645916	0.9180390408357095	0.927623951860244	0.90633325603938	0.912465567824985	0.9273847584843247	0.9077881310364402	0.916085881389956	0.00872949926011186	8
4	2.7181941350301106	0.18202880981119485	0.00878613789876302	0.0005242377692409412	0.15	100	50	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 50}	0.9039284038615478	0.9187060893621408	0.9014934236180574	0.911633165420763	0.922884928228747	0.9086108740283076	0.9318460950700255	0.8980504773225111	0.9251816356591719	0.9238178501853009	0.92739542653895	0.909882133309042	0.9168386643080307	0.9317548687296368	0.9143250616821826	0.9164232731549612	0.010390971672129164	5
5	3.723014481862386	0.1769628626040372	0.009350268046061198	0.0009268416652166342	0.15	100	80	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 80}	0.8999840407828353	0.9195321268422716	0.9046363780755988	0.9138060930297738	0.9276902663313376	0.912405053909932	0.9310827293331879	0.9000044417972782	0.9313301408636209	0.918719646296041	0.9276238716191233	0.9110131053647778	0.9164246483877417	0.9223333624420272	0.9025549435240448	0.9159427232399727	0.010517508944791408	9
6	2.404956610997518	0.02071584220564495	0.009342670440673828	0.0006388468544101756	0.15	150	31	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 31}	0.9052061516426524	0.91299817652025	0.9139283999759439	0.9130116272482047	0.9243584815196363	0.912176893834717	0.9299643153307461	0.9088843659107797	0.9323924557830533	0.9191986697976717	0.9286859316841448	0.9055067754315533	0.9123624243437058	0.9295801280920882	0.9084908011254946	0.9171163732160428	0.00914397796651391	1
7	3.0495339552561442	0.12305164003215825	0.010077397028605143	0.0007505847731253038	0.15	150	50	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 50}	0.9021031124348888	0.9185504908309724	0.9040270720257844	0.9113862184697907	0.9253877890076966	0.9084673760048804	0.9308312555226042	0.8997968816616599	0.9251816356591719	0.9194681342781682	0.9271015239331314	0.9172036298934867	0.9189285724844706	0.930615157149379	0.9106911961633907	0.9166493363679652	0.00985462936129667	3
8	4.043270572026571	0.24137123372006075	0.010925690333048502	0.0014980633303088263	0.15	150	80	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 80}	0.9082543886650888	0.9193559358444048	0.905681742821142	0.9139612619605897	0.9287491846873559	0.9100503505097485	0.9314316449359646	0.8996786907535143	0.9326371769287637	0.9175087897163761	0.9277614290950827	0.9123752757390303	0.9133202392419026	0.923580892009039	0.9036855831936872	0.9165355057401126	0.010089191821368115	4
9	1.064854367574056	0.0049101094188012204	0.007054726282755534	0.0005937269772173897	0.05	50	31	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 31}	0.8968457228135249	0.9047851857937008	0.8898060066227275	0.9002392824061926	0.916502487784771	0.9038531814088543	0.9161767430895069	0.8908039465484738	0.9038983781220612	0.8995573540490146	0.913098432704683	0.9006798016681661	0.8910929840115919	0.9003221331606093	0.8846700923296204	0.9008221155008999	0.009172374364314704	27
10	1.6357052485148111	0.006035988473496043	0.007543452580769857	0.00030790117674728095	0.05	50	50	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 50}	0.8921719194397003	0.9083737119908638	0.8923381207459932	0.8943058069695754	0.9198334861933317	0.9072042147552503	0.9307007132270005	0.88552618433837	0.9135327953164334	0.9073418216370919	0.9100912385162756	0.8985096211627646	0.8953242687122639	0.9089036276984788	0.8930179799354893	0.9038117007092588	0.011812033637785392	25
