	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_n_estimators	param_num_leaves	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	split10_test_score	split11_test_score	split12_test_score	split13_test_score	split14_test_score	mean_test_score	std_test_score	rank_test_score
0	0.33630429903666176	0.08742585002807562	0.002385123570760091	0.00026743649778797704	0.15	50	31	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 31}	0.9735309019863949	0.9733996135584934	0.9532351304415846	0.9586486881916559	0.9703107755986006	0.9765684817525878	0.979290443091348	0.9618210064414973	0.976216546767732	0.952048499837243	0.9762296594723258	0.9443855748829713	0.9911590671771667	0.9672665226263334	0.9528131827758647	0.9671282729734533	0.012417888399919561	16
1	0.7907807032267252	0.44369014454811767	0.003141943613688151	0.0005419815931034124	0.15	50	50	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 50}	0.9705536996233205	0.973297618321409	0.9589218529645883	0.9616432602876884	0.9704082016292407	0.9794431713086146	0.9765210559039542	0.9675359743935478	0.9673296310949023	0.9491570727514568	0.9762296594723258	0.953123856862389	0.9793601849420496	0.9702079504825636	0.9555817900099854	0.9672876653365355	0.009280941263825627	15
2	0.6277364730834961	0.11971454502243944	0.003272072474161784	0.0006251557946973162	0.15	50	80	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 80}	0.9705536996233205	0.973297618321409	0.9617396608365316	0.9616432602876884	0.9704082016292407	0.9794431713086146	0.9763851228136942	0.9589383216016903	0.9673296310949023	0.9491570727514568	0.9762296594723258	0.953123856862389	0.9793601849420496	0.9702079504825636	0.9555817900099854	0.9668932801358573	0.009372500974387667	18
3	0.5144578774770101	0.08792011345500929	0.0033490657806396484	0.0004347163740270498	0.15	100	31	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 31}	0.9706841332241333	0.9733435264979176	0.9591382268765184	0.9645300047968038	0.970224032067593	0.9738874011637154	0.9822960592191361	0.9619288760532464	0.9761795762233721	0.9521309091355089	0.9762296594723258	0.9473204810751876	0.9852758855021297	0.970280409497787	0.9556807019783335	0.9679419921855806	0.010572441629178085	8
4	0.594765043258667	0.033072722433968575	0.0034751733144124347	0.0003726680378431563	0.15	100	50	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 50}	0.976524619931359	0.9674051051211688	0.9620108180396365	0.9616432602876884	0.9761703844645383	0.9794431713086146	0.9823418104544195	0.9704226562869215	0.9733295658782198	0.952048499837243	0.9762296594723258	0.9560636556170897	0.9822485207100592	0.9731687247218952	0.9587187686560197	0.9698512813858132	0.009366915327370917	1
5	0.7695721626281739	0.10358139356979956	0.0036472002665201824	0.00031033486250459894	0.15	100	80	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 80}	0.976524619931359	0.9733274966791451	0.9589218529645883	0.9616432602876884	0.9703107755986006	0.9824355688784459	0.9793217404054841	0.9617227309956523	0.9762940787424915	0.952048499837243	0.9762296594723258	0.953123856862389	0.9822485207100592	0.9731687247218952	0.9558492918977919	0.9688780451990106	0.010273797894576383	5
6	0.5423288186391194	0.10589664018072306	0.0033233165740966797	0.0002754090920495208	0.15	150	31	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 31}	0.9706841332241333	0.9733435264979176	0.96202664487589	0.9645300047968038	0.9732127845096583	0.9767338948765321	0.9822960592191361	0.9619288760532464	0.9761795762233721	0.9521309091355089	0.9762296594723258	0.9531386357156552	0.9852758855021297	0.9673032479336511	0.9526708162028162	0.9685123102825852	0.010215932554233937	7
7	0.684039831161499	0.1283479165391876	0.004051780700683594	0.00047062185530022486	0.15	150	50	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 50}	0.976524619931359	0.9674051051211688	0.96202664487589	0.9616432602876884	0.9702457352842728	0.9794431713086146	0.9823418104544195	0.9733687750238239	0.9702912246125531	0.952048499837243	0.9762296594723258	0.953123856862389	0.9822485207100592	0.9731687247218952	0.9587187686560197	0.9692552251439814	0.009523946601018364	2
8	0.8332236289978028	0.18847850319730508	0.004043420155843099	0.0005264984597889564	0.15	150	80	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 80}	0.976524619931359	0.973297618321409	0.9589843088265736	0.9616432602876884	0.9732524780475156	0.9824355688784459	0.9793217404054841	0.9617227309956523	0.9762940787424915	0.952048499837243	0.9762296594723258	0.953123856862389	0.9822485207100592	0.9731687247218952	0.9558492918977919	0.9690763305292215	0.010322313376542477	3
9	0.5029984951019287	0.09243238245659811	0.002968597412109375	0.0016421313854169508	0.05	50	31	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 31}	0.9675408107909292	0.9555531619057981	0.9532748080796352	0.9524909229934669	0.9584285375653965	0.9766826228764635	0.9676895748522681	0.9467497797405255	0.9672101635034025	0.9226575515273712	0.9672941071061477	0.9444056969918775	0.9704350199375759	0.9583525510388838	0.9408411052272112	0.95664042760913	0.013530033795578905	25
10	0.6970977465311686	0.10600287500317802	0.0030157883961995442	0.00046423916435653774	0.05	50	50	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 50}	0.9675408107909292	0.9467365504530587	0.9532748080796352	0.9554637027108214	0.9554932608030672	0.9736893301216909	0.9676895748522681	0.9467497797405255	0.9703207354623108	0.9257479850537685	0.9672941071061477	0.9385963788783476	0.9616599898939618	0.958275015684456	0.9497114339268103	0.9558828975705198	0.012621041487255453	27
