	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_learning_rate	param_n_estimators	param_num_leaves	params	split0_test_f1	split1_test_f1	split2_test_f1	split3_test_f1	split4_test_f1	split5_test_f1	split6_test_f1	split7_test_f1	split8_test_f1	mean_test_f1	std_test_f1	rank_test_f1	split0_test_recall	split1_test_recall	split2_test_recall	split3_test_recall	split4_test_recall	split5_test_recall	split6_test_recall	split7_test_recall	split8_test_recall	mean_test_recall	std_test_recall	rank_test_recall	split0_test_precision	split1_test_precision	split2_test_precision	split3_test_precision	split4_test_precision	split5_test_precision	split6_test_precision	split7_test_precision	split8_test_precision	mean_test_precision	std_test_precision	rank_test_precision	split0_test_accuracy	split1_test_accuracy	split2_test_accuracy	split3_test_accuracy	split4_test_accuracy	split5_test_accuracy	split6_test_accuracy	split7_test_accuracy	split8_test_accuracy	mean_test_accuracy	std_test_accuracy	rank_test_accuracy	split0_test_roc_auc	split1_test_roc_auc	split2_test_roc_auc	split3_test_roc_auc	split4_test_roc_auc	split5_test_roc_auc	split6_test_roc_auc	split7_test_roc_auc	split8_test_roc_auc	mean_test_roc_auc	std_test_roc_auc	rank_test_roc_auc
0	213.69730491108365	19.665778961400353	0.12022365464104547	0.16298653245149777	0.15	50	31	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 31}	0.9489006466784244	0.9466856330014224	0.9664785958194887	0.968	0.9472600170502984	0.9555443998215083	0.9593364700733122	0.9664381926683717	0.9445511106209735	0.9559105628593111	0.008935864502894506	16	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.9504993252361673	0.9454495159059475	0.9656298835509403	0.968	0.9458285714285715	0.9534193444379643	0.9634355268162799	0.9728	0.942170355060409	0.9563591691595865	0.010625167464397997	13	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.5888170406998859	0.6375000000000001	0.7853375527426161	0.7916666666666666	0.6207983193277311	0.6755156608097785	0.7355371900826446	0.7083333333333334	0.6817144719687093	0.691691137292374	0.06655901915247116	13
1	252.78297596507602	50.580405243891164	0.16283173031277126	0.12689201772433012	0.15	50	50	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 50}	0.9489006466784244	0.9466856330014224	0.9664785958194887	0.968	0.9472600170502984	0.9555443998215083	0.9593364700733122	0.9664381926683717	0.9445511106209735	0.9559105628593111	0.008935864502894506	16	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.9504993252361673	0.9454495159059475	0.9656298835509403	0.968	0.9458285714285715	0.9534193444379643	0.9634355268162799	0.9728	0.942170355060409	0.9563591691595865	0.010625167464397997	13	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.5888170406998859	0.6375000000000001	0.7853375527426161	0.7916666666666666	0.6207983193277311	0.6755156608097785	0.7355371900826446	0.7083333333333334	0.6817144719687093	0.691691137292374	0.06655901915247116	13
2	232.3425120777554	35.05034292450888	0.16540373696221244	0.17415621847109264	0.15	50	80	{'learning_rate': 0.15, 'n_estimators': 50, 'num_leaves': 80}	0.9489006466784244	0.9466856330014224	0.9664785958194887	0.968	0.9472600170502984	0.9555443998215083	0.9593364700733122	0.9664381926683717	0.9445511106209735	0.9559105628593111	0.008935864502894506	16	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.9504993252361673	0.9454495159059475	0.9656298835509403	0.968	0.9458285714285715	0.9534193444379643	0.9634355268162799	0.9728	0.942170355060409	0.9563591691595865	0.010625167464397997	13	0.96	0.948	0.9678714859437751	0.968	0.956	0.9598393574297188	0.956	0.972	0.9477911646586346	0.959500223114681	0.00811578547561012	16	0.5888170406998859	0.6375000000000001	0.7853375527426161	0.7916666666666666	0.6207983193277311	0.6755156608097785	0.7355371900826446	0.7083333333333334	0.6817144719687093	0.691691137292374	0.06655901915247116	13
3	343.3018680413564	135.00043471321527	0.04890977011786567	0.015085962606747376	0.15	100	31	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 31}	0.9411758016111199	0.9494329183955741	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9476285585428038	0.9525051351479951	0.009311449813520929	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.9394516129032259	0.9472314049586776	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9452030343596609	0.9518036161418902	0.011874449061183684	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.5433624952453404	0.6395833333333334	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.6838331160365059	0.6602938960173794	0.07072647753346756	25
4	317.1978994210561	128.34126373480635	0.1288468837738037	0.13259368048754303	0.15	100	50	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 50}	0.9411758016111199	0.9494329183955741	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9476285585428038	0.9525051351479951	0.009311449813520929	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.9394516129032259	0.9472314049586776	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9452030343596609	0.9518036161418902	0.011874449061183684	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.5433624952453404	0.6395833333333334	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.6838331160365059	0.6602938960173794	0.07072647753346756	25
5	655.4454069137573	138.53513346157115	0.30007992850409615	0.385919068286841	0.15	100	80	{'learning_rate': 0.15, 'n_estimators': 100, 'num_leaves': 80}	0.9411758016111199	0.9494329183955741	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9476285585428038	0.9525051351479951	0.009311449813520929	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.9394516129032259	0.9472314049586776	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9452030343596609	0.9518036161418902	0.011874449061183684	25	0.956	0.952	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9518072289156626	0.9577224453369032	0.00683001034434022	25	0.5433624952453404	0.6395833333333334	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.6838331160365059	0.6602938960173794	0.07072647753346756	25
6	441.32713164223566	237.2444586857128	0.08733730845981175	0.05811302150943197	0.15	150	31	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 31}	0.9411758016111199	0.9466856330014224	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9530817089869777	0.9528057868202199	0.00931244020580938	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.9394516129032259	0.9454495159059475	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9513568920031591	0.9522893904297534	0.011752070417721748	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.5433624952453404	0.6375000000000001	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.7222946544980444	0.6643359188094023	0.07322241880917646	22
7	281.3764241271549	13.620286347821972	0.05899177657233344	0.03164551383814369	0.15	150	50	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 50}	0.9411758016111199	0.9466856330014224	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9530817089869777	0.9528057868202199	0.00931244020580938	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.9394516129032259	0.9454495159059475	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9513568920031591	0.9522893904297534	0.011752070417721748	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.5433624952453404	0.6375000000000001	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.7222946544980444	0.6643359188094023	0.07322241880917646	22
8	337.3007459375593	144.2219716850117	0.0553086863623725	0.034375405583596634	0.15	150	80	{'learning_rate': 0.15, 'n_estimators': 150, 'num_leaves': 80}	0.9411758016111199	0.9466856330014224	0.9664785958194887	0.9630900536163693	0.9376709292412616	0.9495563273026065	0.9572485689928144	0.9602644628099174	0.9530817089869777	0.9528057868202199	0.00931244020580938	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.9394516129032259	0.9454495159059475	0.9656298835509403	0.9623052097740894	0.9323428571428571	0.9464442130662568	0.9585836791147994	0.9690406504065041	0.9513568920031591	0.9522893904297534	0.011752070417721748	22	0.956	0.948	0.9678714859437751	0.964	0.948	0.9558232931726908	0.956	0.968	0.9558232931726908	0.9577242302543506	0.007072936679019083	22	0.5433624952453404	0.6375000000000001	0.7853375527426161	0.7416666666666666	0.57703081232493	0.6300611153552331	0.6751033057851239	0.6666666666666666	0.7222946544980444	0.6643359188094023	0.07322241880917646	22
9	130.98494588004218	13.750967815221466	0.047550598780314125	0.012197067668284928	0.05	50	31	{'learning_rate': 0.05, 'n_estimators': 50, 'num_leaves': 31}	0.9557215306592899	0.957860765329645	0.958098244774361	0.9548878433088959	0.9432082474226804	0.9525591994534153	0.9519431009957326	0.9684613196192144	0.9499008692999845	0.9547379023181354	0.006491480359132019	19	0.96	0.96	0.9598393574297188	0.956	0.956	0.9598393574297188	0.948	0.972	0.9518072289156626	0.9581651048638999	0.006297014713045277	19	0.9536037624926514	0.9561983471074379	0.9568281494177547	0.9538773628400185	0.9454574898785425	0.9509908486404635	0.9564762267021681	0.969636684303351	0.9483925004832163	0.9546068190961782	0.00644463821089124	19	0.96	0.96	0.9598393574297188	0.956	0.956	0.9598393574297188	0.948	0.972	0.9518072289156626	0.9581651048638999	0.006297014713045277	19	0.6755420311905668	0.6916666666666665	0.741561181434599	0.6895833333333332	0.5812324929971989	0.6321619556913675	0.6709710743801653	0.7478991596638656	0.7201760104302478	0.6834215450875568	0.049756818980098684	19
